gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
859461399	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-229705	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castareus		ID	Gumbasa Proj.,Tulo.	Sulawesi	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.016667	119.516667			25.0	0.0			1973-06-02	2	6	1973	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-229705	G-1079			CC0_1_0				native	2024-04-29T10:40:07.369Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY
859456942	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-256402	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Paranaque,Sun Valley Subdivision.	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1983-12-15	15	12	1983	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-256402	311			CC0_1_0		M. T. Wooster		native	2024-04-29T10:40:07.730Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859456145	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242700	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					2134.0	0.0							4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242700	42			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:07.558Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859456141	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242699	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					2134.0	0.0			1970-07-27	27	7	1970	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242699	41			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:03.121Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859456137	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242698	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					2134.0	0.0			1970-07-27	27	7	1970	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242698	40			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:07.482Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859455751	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242697	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					1829.0	0.0							4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242697	89			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:03.033Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450303	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237524	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-02-09	9	2	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237524	312			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.632Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450299	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237523	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-02-08	8	2	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237523	309			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:03.075Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450295	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237518	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-01-27	27	1	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237518	295			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:03.048Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450291	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237517	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-28	28	12	1971	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237517	292			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.494Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450286	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237516	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-28	28	12	1971	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237516	258			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:02.978Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450212	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242226	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	None	Polollo Island	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1920-07-01	1	7	1920	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242226	99			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.036Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450203	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242228	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	None	Polollo Island	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1920-07-20	20	7	1920	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242228	106			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.030Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450198	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242227	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	None	Polollo Island	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1920-07-01	1	7	1920	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242227	105			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:07.578Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450143	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237522	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-02-08	8	2	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237522	306			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.421Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450138	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237521	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-02-07	7	2	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237521	303			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:02.979Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450133	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237520	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-02-07	7	2	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237520	302			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.504Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450128	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237519	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1972-01-27	27	1	1972	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237519	297			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.555Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859449143	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-229704	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castareus		ID	Gumbasa Proj.,Sidondo.	Sulawesi	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.05	119.533333			40.0	0.0			1973-03-18	18	3	1973	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-229704	G-496			CC0_1_0				native	2024-04-29T10:40:02.898Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY
859443090	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242703	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					1372.0	0.0							4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242703	82			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:03.039Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859443085	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242702	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK		Central Prov	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					1372.0	0.0			1970-08-12	12	8	1970	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242702	80			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:07.622Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859442599	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-256259	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Paranaque	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1983-07-06	6	7	1983	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-256259	301			CC0_1_0		M. T. Wooster		native	2024-04-29T10:40:07.729Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
